OAT,RowIndex,Index,masse,pa,masse_encrypted,pa_encrypted
2.0,0,72,32.0,11254.0,f508,ce7028
2.0,0,73,33.0,11357.0,f9b8,d052f8
2.0,0,74,34.0,11460.0,fe68,d235c8
2.0,0,75,35.0,11563.0,10318,d41898
2.0,0,76,36.0,11667.0,107c8,d60018
2.0,0,77,37.0,11770.0,10c78,d7e2e8
2.0,0,78,38.0,11873.0,11128,d9c5b8
2.0,0,79,38.0,11925.0,11128,dab978
2.0,0,80,39.0,11916.0,115d8,da8f48
2.0,0,81,40.0,11725.0,11a88,d70ff8
2.0,0,82,41.0,11540.0,11f38,d3acc8
2.0,0,83,42.0,11352.0,123e8,d03b88
2.0,0,84,43.0,11164.0,12898,ccca48
2.0,0,85,44.0,10949.0,12d48,c8da78
2.0,0,86,45.0,10727.0,131f8,c4c9d8
2.0,0,87,46.0,10522.0,136a8,c108e8
2.0,0,88,46.0,10514.0,136a8,c0e368
3.0,0,0,-40.0,4755.0,ffffa388,577018
3.0,0,1,-39.0,4861.0,ffffa838,5960f8
3.0,0,2,-38.0,4967.0,fffface8,5b51d8
3.0,0,3,-37.0,5073.0,ffffb198,5d42b8
3.0,0,4,-36.0,5179.0,ffffb648,5f3398
3.0,0,5,-35.0,5285.0,ffffbaf8,612478
3.0,0,6,-34.0,5392.0,ffffbfa8,631a08
3.0,0,7,-33.0,5498.0,ffffc458,650ae8
3.0,0,8,-32.0,5604.0,ffffc908,66fbc8
3.0,0,9,-31.0,5710.0,ffffcdb8,68eca8
3.0,0,10,-30.0,5816.0,ffffd268,6add88
3.0,0,11,-29.0,5923.0,ffffd718,6cd318
3.0,0,12,-28.0,6029.0,ffffdbc8,6ec3f8
3.0,0,13,-27.0,6135.0,ffffe078,70b4d8
3.0,0,14,-26.0,6242.0,ffffe528,72aa68
3.0,0,15,-25.0,6348.0,ffffe9d8,749b48
3.0,0,16,-24.0,6454.0,ffffee88,768c28
3.0,0,17,-23.0,6561.0,fffff338,7881b8
3.0,0,18,-22.0,6667.0,fffff7e8,7a7298
3.0,0,19,-21.0,6773.0,fffffc98,7c6378
3.0,0,20,-20.0,6880.0,148,7e5908
3.0,0,21,-19.0,6986.0,5f8,8049e8
3.0,0,22,-18.0,7093.0,aa8,823f78
3.0,0,23,-17.0,7199.0,f58,843058
3.0,0,24,-16.0,7306.0,1408,8625e8
3.0,0,25,-15.0,7412.0,18b8,8816c8
3.0,0,26,-14.0,7519.0,1d68,8a0c58
3.0,0,27,-13.0,7625.0,2218,8bfd38
3.0,0,28,-12.0,7732.0,26c8,8df2c8
3.0,0,29,-11.0,7838.0,2b78,8fe3a8
3.0,0,30,-10.0,7945.0,3028,91d938
3.0,0,31,-9.0,8051.0,34d8,93ca18
3.0,0,32,-8.0,8158.0,3988,95bfa8
3.0,0,33,-7.0,8264.0,3e38,97b088
3.0,0,34,-6.0,8371.0,42e8,99a618
3.0,0,35,-5.0,8478.0,4798,9b9ba8
3.0,0,36,-4.0,8584.0,4c48,9d8c88
3.0,0,37,-3.0,8691.0,50f8,9f8218
3.0,0,38,-2.0,8798.0,55a8,a177a8
3.0,0,39,-1.0,8904.0,5a58,a36888
3.0,0,40,0.0,9011.0,5f08,a55e18
3.0,0,41,1.0,9118.0,63b8,a753a8
3.0,0,42,2.0,9225.0,6868,a94938
3.0,0,43,3.0,9331.0,6d18,ab3a18
3.0,0,44,4.0,9438.0,71c8,ad2fa8
3.0,0,45,5.0,9545.0,7678,af2538
3.0,0,46,6.0,9652.0,7b28,b11ac8
3.0,0,47,7.0,9758.0,7fd8,b30ba8
3.0,0,48,8.0,9865.0,8488,b50138
3.0,0,49,9.0,9972.0,8938,b6f6c8
3.0,0,50,10.0,10079.0,8de8,b8ec58
3.0,0,51,11.0,10186.0,9298,bae1e8
3.0,0,52,12.0,10293.0,9748,bcd778
3.0,0,53,13.0,10399.0,9bf8,bec858
